ID,Family,Genus,Species,colonizer/sedentary,P-N colonizer,N-P colonizer,P & N sedentary,Old colonizer - SPS,Old colonizer - GENUS,Confamilial sedentary,Within Nearctic,Within Palaearctic,Cosmopolite
440,OCHOTONIDAE,Ochotona,Ochotona curzoniae,sedentary,0,0,1,0,1,0,0,1,0
441,OCHOTONIDAE,Ochotona,Ochotona dauurica,sedentary,0,0,1,0,1,0,0,1,0
442,OCHOTONIDAE,Ochotona,Ochotona erythrotis,sedentary,0,0,1,0,1,0,0,1,0
444,OCHOTONIDAE,Ochotona,Ochotona gloveri,sedentary,0,0,1,0,1,0,0,1,0
445,OCHOTONIDAE,Ochotona,Ochotona hoffmanni,sedentary,0,0,1,0,1,0,0,1,0
446,OCHOTONIDAE,Ochotona,Ochotona huangensis,sedentary,0,0,1,0,1,0,0,1,0
447,OCHOTONIDAE,Ochotona,Ochotona hyperborea,sedentary,0,0,1,0,1,0,0,1,0
448,OCHOTONIDAE,Ochotona,Ochotona iliensis,sedentary,0,0,1,0,1,0,0,1,0
449,OCHOTONIDAE,Ochotona,Ochotona koslowi,sedentary,0,0,1,0,1,0,0,1,0
450,OCHOTONIDAE,Ochotona,Ochotona ladacensis,sedentary,0,0,1,0,1,0,0,1,0
451,OCHOTONIDAE,Ochotona,Ochotona macrotis,sedentary,0,0,1,0,1,0,0,1,0
452,OCHOTONIDAE,Ochotona,Ochotona nubrica,sedentary,0,0,1,0,1,0,0,1,0
453,OCHOTONIDAE,Ochotona,Ochotona pallasi,sedentary,0,0,1,0,1,0,0,1,0
454,OCHOTONIDAE,Ochotona,Ochotona princeps,sedentary,0,0,1,0,1,0,1,0,0
455,OCHOTONIDAE,Ochotona,Ochotona pusilla,sedentary,0,0,1,0,1,0,0,1,0
456,OCHOTONIDAE,Ochotona,Ochotona roylei,sedentary,0,0,1,0,1,0,0,1,0
457,OCHOTONIDAE,Ochotona,Ochotona rufescens,sedentary,0,0,1,0,1,0,0,1,0
458,OCHOTONIDAE,Ochotona,Ochotona rutila,sedentary,0,0,1,0,1,0,0,1,0
459,OCHOTONIDAE,Ochotona,Ochotona thibetana,sedentary,0,0,1,0,1,0,0,1,0
460,OCHOTONIDAE,Ochotona,Ochotona thomasi,sedentary,0,0,1,0,1,0,0,1,0
461,OCHOTONIDAE,Ochotona,Ochotona turuchanensis,sedentary,0,0,1,0,1,0,0,1,0
462,CRICETIDAE,Ochrotomys,Ochrotomys nuttalli,sedentary,0,0,1,0,0,1,1,0,0
463,CERVIDAE,Odocoileus,Odocoileus hemionus,colonizer,1,0,0,0,0,0,1,0,0
464,CERVIDAE,Odocoileus,Odocoileus virginianus,colonizer,1,0,0,0,0,0,1,0,0
465,CRICETIDAE,Oligoryzomys,Oligoryzomys fulvescens,sedentary,0,0,1,0,0,1,1,0,0
466,CRICETIDAE,Ondatra,Ondatra zibethicus,colonizer,1,0,0,0,0,0,1,0,0
467,CRICETIDAE,Onychomys,Onychomys arenicola,sedentary,0,0,1,0,0,1,1,0,0
468,CRICETIDAE,Onychomys,Onychomys leucogaster,sedentary,0,0,1,0,0,1,1,0,0
469,CRICETIDAE,Onychomys,Onychomys torridus,sedentary,0,0,1,0,0,1,1,0,0
470,BOVIDAE,Oreamnos,Oreamnos americanus,colonizer,1,0,0,0,0,0,1,0,0
471,GEOMYIDAE,Orthogeomys,Orthogeomys grandis,sedentary,0,0,1,0,0,0,1,0,0
472,GEOMYIDAE,Orthogeomys,Orthogeomys hispidus,sedentary,0,0,1,0,0,0,1,0,0
473,CRICETIDAE,Oryzomys,Oryzomys couesi,sedentary,0,0,1,0,0,1,1,0,0
474,CRICETIDAE,Oryzomys,Oryzomys palustris,sedentary,0,0,1,0,0,1,1,0,0
475,CRICETIDAE,Osgoodomys,Osgoodomys banderanus,sedentary,0,0,1,0,0,1,1,0,0
476,FELIDAE,Otocolobus,Otocolobus manul,sedentary,0,0,1,0,0,1,0,1,0
477,CRICETIDAE,Ototylomys,Ototylomys phyllotis,sedentary,0,0,1,0,0,1,1,0,0
478,BOVIDAE,Ovibos,Ovibos moschatus,colonizer,1,0,0,0,0,0,1,0,0
479,BOVIDAE,Ovis,Ovis ammon,colonizer,1,0,0,0,0,0,0,1,0
480,BOVIDAE,Ovis,Ovis canadensis,colonizer,1,0,0,0,0,0,1,0,0
481,BOVIDAE,Ovis,Ovis dalli,colonizer,1,0,0,0,0,0,1,0,0
482,BOVIDAE,Ovis,Ovis nivicola,colonizer,1,0,0,0,0,0,0,1,0
483,BOVIDAE,Ovis,Ovis orientalis,colonizer,1,0,0,0,0,0,0,1,0
484,VIVERRIDAE,Paguma,Paguma larvata,sedentary,0,0,1,0,0,0,0,1,0
